"Source","Target","Weight"
"Cre09.g390750","Cre02.g112600",0.154441400785893
"Cre09.g396289","Cre02.g112600",0.243211794288923
"Cre09.g400250","Cre02.g112600",0.252110353543824
"Cre10.g419350","Cre02.g112600",0.205075835529511
"Cre10.g448100","Cre02.g112600",0.215961476416632
"Cre10.g458900","Cre02.g112600",0.234561955197944
"Cre11.g469400","Cre02.g112600",0.168643050504133
"Cre11.g480079","Cre02.g112600",0.253765901943275
"Cre12.g489350","Cre02.g112600",0.235666316686462
"Cre12.g514300","Cre02.g112600",0.265794718574443
"Cre12.g535800","Cre02.g112600",0.2402243601178
"Cre12.g541750","Cre02.g112600",0.247222366144453
"Cre12.g553600","Cre02.g112600",0.260569671085996
"Cre12.g559700","Cre02.g112600",0.135191812041299
"Cre13.g568316","Cre02.g112600",0.24391396181937
"Cre13.g588800","Cre02.g112600",0.245417161405764
"Cre13.g602300","Cre02.g112600",0.227017487318173
"Cre14.g611517","Cre02.g112600",0.243605142242665
"Cre14.g625350","Cre02.g112600",0.254619430257977
"Cre16.g650300","Cre02.g112600",0.214720229704192
"Cre16.g654950","Cre02.g112600",0.240532918659447
"Cre16.g683250","Cre02.g112600",0.221886625538995
"Cre17.g709876","Cre02.g112600",0.221481727293968
"Cre17.g719522","Cre02.g112600",0.169603381275956
"Cre17.g736329","Cre02.g112600",0.215424782669285
"Cre17.g746147","Cre02.g112600",0.245661150445145
"Cre01.g009500","Cre03.g150400",0.13530742324449
"Cre01.g010350","Cre03.g150400",0.158804832404768
"Cre01.g030650","Cre03.g150400",0.211965552891148
"Cre02.g090150","Cre03.g150400",0.214886820027801
"Cre02.g095102","Cre03.g150400",0.130893027184093
"Cre02.g112600","Cre03.g150400",0.221642093910411
"Cre03.g172800","Cre03.g150400",0.103954210923229
"Cre03.g173000","Cre03.g150400",0.241270243262232
"Cre03.g200991","Cre03.g150400",0.206315402197245
"Cre04.g218450","Cre03.g150400",0.162243562865302
"Cre04.g224350","Cre03.g150400",0.172969946156223
"Cre04.g229000","Cre03.g150400",0.239491543994337
"Cre04.g230928","Cre03.g150400",0.126906426636831
"Cre05.g238100","Cre03.g150400",0.137340166052964
"Cre05.g244850","Cre03.g150400",0.149495588489128
"Cre06.g264400","Cre03.g150400",0.158705352817605
"Cre06.g270500","Cre03.g150400",0.162302517341927
"Cre06.g275150","Cre03.g150400",0.131857959299945
"Cre06.g278134","Cre03.g150400",0.128820307534816
"Cre06.g278228","Cre03.g150400",0.182068621746502
"Cre06.g300350","Cre03.g150400",0.147656527544171
"Cre06.g308450","Cre03.g150400",0.149556790638791
"Cre07.g314600","Cre03.g150400",0.1828562307455
"Cre07.g319550","Cre03.g150400",0.12931049607042
"Cre07.g323400","Cre03.g150400",0.131868149893318
"Cre07.g329882","Cre03.g150400",0.169957096303507
"Cre07.g331850","Cre03.g150400",0.257997807629026
"Cre07.g348100","Cre03.g150400",0.102812232633047
"Cre08.g370950","Cre03.g150400",0.143175825939574
"Cre08.g380763","Cre03.g150400",0.183566531607351
"Cre08.g385950","Cre03.g150400",0.126983662784022
"Cre09.g387060","Cre03.g150400",0.215831456052737
"Cre09.g396289","Cre03.g150400",0.112559942949352
"Cre09.g400250","Cre03.g150400",0.15970324508483
"Cre10.g419350","Cre03.g150400",0.123577267214193
"Cre10.g448100","Cre03.g150400",0.191514132476332
"Cre10.g458900","Cre03.g150400",0.149919748828714
