"","SRR393780_FPKM","SRR393781_FPKM","SRR393782_FPKM","SRR393783_FPKM","SRR393784_FPKM","SRR393785_FPKM","SRR393786_FPKM","SRR393787_FPKM"
"Cre14.g616501",0.0784488887155794,0.345836895044476,0.10128579330715,0.185484735489602,0.274835344649673,0.323359691996682,0.136110257023773,0.322999907605461
"Cre14.g616550",2.293043765961,2.32780231537653,3.04291744314248,3.18092598079859,3.25483134866332,3.01481409702696,2.53667461756976,2.64911646469228
"Cre14.g616589",1.69458605355711,1.80924155743872,1.84545793494078,1.82900520431714,1.70546927585139,1.25243988137868,0.508823121178782,1.04701481951759
"Cre14.g616600",3.23525067741846,3.53035795381716,3.6025756508167,3.63718129192221,2.16980958122217,2.47166871208988,1.07998902561574,2.37692934016447
"Cre14.g616650",1.10243641963062,1.26317866812489,1.2473746275209,1.06390325189434,0.608655031619727,0.623305028247536,0.349762700054898,0.150063096072736
"Cre14.g616700",4.17857920789606,3.87619276419524,4.06221671384114,3.91656263032139,3.0251794366,2.78276919361089,2.35395838889469,2.3162355458161
"Cre14.g616750",2.4273084856597,2.71959088677926,2.01235770638758,2.25715850195898,2.50972370759131,2.66767871316972,2.56141412533607,2.55551924338865
"Cre14.g616800",0.550188496740054,0.549222617692842,0.263837282626575,0.496286444088582,2.47561412001616,1.77977660224766,3.34919965258535,2.96011131781018
"Cre14.g616826",0,0,0,0,0,0.289042388172529,0,0.296873196035603
"Cre14.g616850",1.22915720321487,1.39205908853892,1.1496365763821,1.41581273953616,1.86708595558643,1.4698182669761,1.06323370614892,1.27073823010708
"Cre14.g616900",4.63082479862984,4.08421737288274,4.13740515482544,3.87370494296439,3.99966633819066,3.84242577647654,4.4122395662634,3.48892626752413
"Cre14.g616950",3.31646727101897,3.50760438215404,4.01322104604445,4.39142404929978,3.76447355099267,3.63264047586563,3.56979486199772,3.32659343268237
"Cre14.g616976",0.19763519583854,0.678490226020895,0.0527764532910426,0.665674733059537,0.116742150420104,0.568185854296044,0.436545653897716,0.55124431011204
"Cre14.g617002",0.260695344716081,0.511761507539915,0.357326785862463,0.69878210842274,0.3757790140453,0.59991664970716,0.211338710400078,0.876749919932694
"Cre14.g617027",0,0,0.0245287626171939,0.0114535166802063,0.0662068751206262,0.00490095533557352,0.125955344674334,0.00619326266129326
"Cre14.g617050",1.9856279355956,2.59768133540981,1.99478968713568,3.01715226538584,1.90271034761101,2.1859521532463,1.52191006577437,2.25052506194434
"Cre14.g617100",6.34201775933738,6.10854536525044,7.06095526928323,6.94579495674006,6.07100749331151,5.77463421805806,6.30050997825643,5.65320909553492
"Cre14.g617150",2.7060663400471,2.51253031368296,1.90822495215256,2.02323050862936,2.46247642450559,2.38815922232861,2.11922003598648,2.6105961314401
"Cre14.g617151",1.87689604928647,1.66491967871403,2.19278438145664,2.04247274454172,2.01459453197077,1.87281694218922,2.05953871805812,2.023865662421
"Cre14.g617200",0.331368147056573,0.406243856662544,1.19844386273934,1.2540558040903,1.9993903325439,1.65636365023419,1.99745861965674,1.98653107898455
"Cre14.g617250",2.71462139380476,2.83619278653957,4.15020220784545,3.43956330103807,3.19237409633237,3.4870875464955,3.86600786705314,3.78638726050036
